	id	exchange_rxns_iML1515	transport_rxns_iML1515	exchange_rxns_iYO844	transport_rxns_iYO844	exchange_rxns_iAF692	transport_rxns_iAF692	exchange_rxns	transport_rxns
54	gal	EX_gal_e		EX_gal_e	TRANS-RXN-21			EX_gal_e	TRANS-RXN-21
55	D-Xylopyranose	EX_xyl__D_e		EX_xyl__D_e	XYLt2			EX_xyl__D_e	XYLt2
56	DEOXYURIDINE	EX_duri_e						EX_duri_e	
57	for	TRANS-RXN-1		TRANS-RXN-1	FORt2			TRANS-RXN-1	FORt2
58	GLY	TRANS-RXN0-537		TRANS-RXN0-537	TRANS-RXN-62B	TRANS-RXN0-537	GLYt4	TRANS-RXN0-537	TRANS-RXN-62B
59	HYDROGEN-MOLECULE	EX_h2_e				EX_h2_e	H2td	EX_h2_e	
60	LYS	TRANS-RXN0-569		TRANS-RXN0-569	LYSt3r	TRANS-RXN0-569	LYSt3r	TRANS-RXN0-569	LYSt3r
61	SER	EX_ser__L_e		EX_ser__L_e	TRANS-RXN-71			EX_ser__L_e	TRANS-RXN-71
62	THIAMINE	EX_thm_e				EX_thm_e	ABC-32-RXN	EX_thm_e	
63	TRP	RXN66-449		RXN66-449	TRANS-RXN-76			RXN66-449	TRANS-RXN-76
64	DEOXYINOSINE	EX_din_e						EX_din_e	
65	FMN	EX_fmn_e						EX_fmn_e	
